gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
998668300	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633974	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.86	-2.2	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633974				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.135Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668299	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634000	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.21	-1.71	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634000				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.525Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668298	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634011	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.03	-1.34	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634011				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.165Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668294	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634010	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.94	-1.35	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634010				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.819Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668292	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634006	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.03	-1.47	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634006				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.058Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668291	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634004	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.21	-1.58	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634004				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.953Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668289	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633998	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.03	-1.71	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633998				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.051Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668288	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633996	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.4	-2.57	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633996				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.066Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668287	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634013	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.02	-1.22	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634013				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.372Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668286	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633988	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.03	-1.96	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633988				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.372Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668285	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633937	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.84	-4.77	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633937				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.137Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668284	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634008	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.21	-1.46	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634008				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.254Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668283	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633966	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.04	-2.45	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633966				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.332Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668282	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633971	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.13	-2.32	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633971				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.312Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668281	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	634009	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera seoanei		SPECIES	Vipera seoanei Lataste, 1879	Vipera seoanei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	43.3	-1.46	7071.0										5960884	5960884	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	634009				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.427Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
