gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
998668066	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633766	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.41	1.5	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633766				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.254Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668065	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633772	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.66	0.66	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633772				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.706Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668064	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633754	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.39	-0.87	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633754				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:49.706Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668061	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633778	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.6	2.7	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633778				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.506Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668058	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633719	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	40.4	-0.7	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633719				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.311Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668056	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633747	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.39	-1.24	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633747				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.530Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668054	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633774	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	41.58	0.78	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633774				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.332Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668053	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633738	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	40.95	-0.92	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633738				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.332Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668052	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633751	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	42.3	-1.0	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633751				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:54:50.165Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
998668051	23bb2c4c-b027-4eb5-b751-57e5d7ea4af6	633730	Animalia	Chordata	Squamata		Viperidae	Vipera	Vipera latastei		SPECIES	Vipera latastei Bosca, 1878	Vipera latastei		ES			PRESENT		7338b4d9-d75b-4edb-b238-b09f52397f49	40.68	-1.17	7071.0										5960896	5960896	HUMAN_OBSERVATION	MAGRAMA	IEET-2011	633730				CC_BY_NC_4_0	Servicio de Vida Silvestre. Área de Acciones de Conservación. Subdirección General de Medio Natural. Dirección General de Calidad y Evaluación Ambiental y Medio Natural. Ministerio de Agricultura, Alimentación y Medio Ambiente				2024-01-25T05:55:00.426Z		GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_PRECISION_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;REFERENCES_URI_INVALID
