"species"	"x"	"y"
"Vaspis"	-2.08	42.85
"Vaspis"	-1.72	42.76
"Vaspis"	-1.59	42.85
"Vaspis"	-2.08	42.94
"Vaspis"	-1.84	42.94
"Vaspis"	-2.08	42.67
"Vaspis"	-1.96	42.85
"Vaspis"	-1.96	42.94
"Vaspis"	-1.6	42.67
"Vaspis"	-3.92	42.76
"Vaspis"	-3.8	42.95
"Vaspis"	-3.91	42.58
"Vaspis"	-3.79	42.76
"Vaspis"	-3.18	42.41
"Vaspis"	-3.79	42.58
"Vaspis"	-3.8	42.86
"Vaspis"	-4.04	42.58
"Vaspis"	-3.06	42.23
"Vaspis"	-3.67	42.86
"Vaspis"	-3.79	42.67
"Vaspis"	-3.67	42.68
"Vaspis"	-3.18	42.32
"Vaspis"	-3.79	42.49
"Vaspis"	-3.06	42.41
"Vaspis"	-3.06	42.14
"Vaspis"	-3.67	42.77
"Vaspis"	-3.67	42.59
"Vaspis"	-3.06	42.32
"Vaspis"	-3.06	42.05
"Vaspis"	2.58	42.23
"Vaspis"	2.58	41.87
"Vaspis"	2.58	42.14
"Vaspis"	2.58	42.05
"Vaspis"	2.58	41.96
"Vaspis"	0.99	42.66
"Vaspis"	1.48	42.31
"Vaspis"	1.61	42.13
"Vaspis"	0.74	42.84
"Vaspis"	0.74	42.66
"Vaspis"	0.86	42.75
"Vaspis"	1.72	42.4
"Vaspis"	0.87	42.48
"Vaspis"	0.86	42.66
"Vaspis"	0.98	42.75
"Vaspis"	1.36	42.22
"Vaspis"	1.73	42.31
"Vaspis"	0.99	42.48
"Vaspis"	0.87	42.57
"Vaspis"	-2.94	42.86
"Vaspis"	0.99	42.57
"Vaspis"	0.62	42.65
"Vaspis"	1	42.3
"Vaspis"	-2.82	42.86
"Vaspis"	1.73	42.13
"Vaspis"	1.6	42.4
"Vaspis"	0.76	42.3
"Vaspis"	0.26	42.64
"Vaspis"	1.13	42.03
"Vaspis"	1.12	42.12
"Vaspis"	0.74	42.75
"Vaspis"	1.6	42.31
"Vaspis"	1	42.39
"Vaspis"	1.49	42.22
"Vaspis"	1.37	41.95
"Vaspis"	0.88	42.21
"Vaspis"	1.12	42.21
"Vaspis"	1.61	42.22
"Vaspis"	1.25	42.12
"Vaspis"	0.75	42.57
"Vaspis"	-2.7	42.59
"Vaspis"	-2.94	42.59
"Vaspis"	-2.94	42.5
"Vaspis"	0.38	42.47
"Vaspis"	-2.69	42.68
"Vaspis"	0.63	42.47
"Vaspis"	1.24	42.39
"Vaspis"	0.87	42.39
"Vaspis"	-2.94	42.95
"Vaspis"	-2.82	42.59
"Vaspis"	0.26	42.55
"Vaspis"	0.38	42.56
"Vaspis"	0.62	42.74
"Vaspis"	-2.82	42.77
"Vaspis"	-2.21	42.31
"Vaspis"	-2.94	42.77
"Vaspis"	-2.94	42.68
"Vaspis"	1.73	42.22
"Vaspis"	0.26	42.46
"Vaspis"	0.5	42.65
"Vaspis"	0.5	42.56
"Vaspis"	-2.82	42.95
"Vaspis"	-2.33	42.41
"Vaspis"	-2.22	41.95
"Vaspis"	-2.33	42.14
"Vaspis"	0.38	42.65
"Vaspis"	0.13	42.73
"Vaspis"	-2.33	42.23
"Vaspis"	-2.33	42.32
"Vaspis"	-2.21	42.04
"Vaspis"	-2.21	42.13
"Vaspis"	2.46	41.6
"Vaspis"	2.33	42.41
"Vaspis"	2.46	42.05
"Vaspis"	2.33	42.32
"Vaspis"	2.46	41.78
"Vaspis"	2.46	41.96
"Vaspis"	2.33	42.23
"Vaspis"	2.46	41.69
"Vaspis"	2.46	41.87
"Vaspis"	-2.21	42.67
"Vaspis"	-2.33	42.77
"Vaspis"	-2.33	42.86
"Vaspis"	-0.61	42.83
"Vaspis"	-0.62	42.74
"Vaspis"	-0.74	42.75
"Vaspis"	-0.62	42.65
"Vaspis"	-0.4	42.2
"Vaspis"	-0.75	42.57
"Vaspis"	-0.62	42.56
"Vaspis"	-0.86	42.93
"Vaspis"	-0.63	42.47
"Vaspis"	-0.73	42.93
"Vaspis"	-0.74	42.84
"Vaspis"	2.45	42.23
"Vaspis"	2.45	42.41
"Vaspis"	2.46	42.14
"Vaspis"	2.58	41.69
"Vaspis"	2.45	42.32
"Vaspis"	2.58	41.6
"Vaspis"	2.58	41.78
"Vaspis"	-0.86	42.84
"Vaspis"	-0.86	42.75
"Vaspis"	-0.99	42.66
"Vaspis"	-0.99	42.57
"Vaspis"	-0.98	42.84
"Vaspis"	-0.98	42.93
"Vaspis"	-0.86	42.66
"Vaspis"	-0.99	42.48
"Vaspis"	-0.87	42.48
"Vaspis"	-0.98	43.02
"Vaspis"	-0.98	42.75
"Vaspis"	-1.1	42.93
"Vaspis"	5.091133	45.777401
"Vaspis"	2.097128	41.813097
"Vaspis"	2.435672	42.125018
"Vaspis"	2.311392	42.123585
"Vaspis"	2.395206	41.75937
"Vaspis"	2.513892	41.816082
"Vaspis"	2.19325	42.198239
"Vaspis"	1.884538	42.16639
"Vaspis"	2.665905	41.860311
"Vaspis"	2.392	41.847852
"Vaspis"	-0.4087	42.13615
"Vaspis"	2.338254	41.707282
"Vaspis"	2.404348	42.348228
"Vaspis"	2.303625	42.196314
"Vaspis"	2.623809	41.603013
"Vaspis"	6.741514	51.436468
"Vaspis"	7.955564	45.833506
"Vaspis"	2.69841	48.285355
"Vaspis"	2.699357	48.286267
"Vaspis"	4.931947	44.428008
"Vaspis"	6.96	44.05
"Vaspis"	8.481714	46.008567
"Vaspis"	4.252639	44.754546
"Vaspis"	13.809873	42.412452
